# Source: http://celex.mpi.nl/ with unknown license

#-----------------------------------------------------------------------
# test that we can override the stemming algorithm with our own mappings
# these must be tab-separated
# monkeys	monkey
# otters	otter
# some crazy ones that a stemmer would never do
# dogs	cat
a-al-tolletjes	a-al-tol
aalvormig	aalvormig
aalvormige	aalvormig
aalvormiger	aalvormig
aalvormigere	aalvormig
aalvormigst	aalvormig
aalvormigste	aalvormig
aambeeldsbeentje	aambeeldsbeen
aambeeldsbeentjes	aambeeldsbeen
aamborstig	aamborstig
aamborstige	aamborstig
aamborstiger	aamborstig
aamborstigere	aamborstig
aamborstigheid	aamborstigheid
aamborstigst	aamborstig
aamborstigste	aamborstig
aanaarding	aanaarding
aanaardingen	aanaarding
aanaardt	aanaard
aanademing	aanademing
aanbad	aanbid
aanbaden	aanbid
aanbakt	aanbak
aanbakte	aanbak
aanbakten	aanbak
aanbeden	aanbid
aanbeeldsbeentje	aanbeeldsbeen
aanbeeldsbeentjes	aanbeeldsbeen
aanbeen	aanbeen
aanbeende	aanbeen
aanbeenden	aanbeen
aanbeent	aanbeen
aanbeet	aanbijt
aanbehoor	aanbehoor
aanbehoord	aanbehoor
aanbehoorde	aanbehoor
aanbehoorden	aanbehoor
aanbehoort	aanbehoor
aanbehoren	aanbehoor
aanbehorend	aanbehoor
aanbehorende	aanbehoor
aanbelandt	aanbeland
aanbelangd	aanbelang
aanbelangde	aanbelang
aanbelangt	aanbelang
aanbelde	aanbel
aanbelden	aanbel
aanbellen	aanbel
aanbellend	aanbel
aanbellende	aanbel
aanbelt	aanbel
aanbenen	aanbeen
aanbenend	aanbeen
aanbenende	aanbeen
aanbermde	aanberm
aanbermden	aanberm
aanberming	aanberming
aanbermingen	aanberming
aanbermt	aanberm
aanbestede	aanbesteed
aanbesteden	aanbesteed
aanbestedend	aanbesteed
aanbestedende	aanbesteed
aanbesteding	aanbesteding
aanbestedingen	aanbesteding
aanbesteed	aanbesteed
aanbesteedde	aanbesteed
aanbesteedden	aanbesteed
aanbesteedt	aanbesteed
aanbesterf	aanbesterv
aanbesterft	aanbesterv
aanbestierf	aanbesterv
aanbestierven	aanbesterv
aanbestorven	aanbesterv
aanbetaling	aanbetaling
aanbetalingen	aanbetaling
aanbeten	aanbijt
aanbeterde	aanbeter
aanbeterden	aanbeter
aanbetert	aanbeter
aanbeval	aanbeveel
aanbevalen	aanbeveel
aanbeveel	aanbeveel
aanbeveelt	aanbeveel
aanbevelen	aanbeveel
aanbevelend	aanbeveel
aanbevelende	aanbeveel
aanbevelenswaarder	aanbevelenswaard
aanbevelenswaardere	aanbevelenswaard
aanbevelenswaardig	aanbevelenswaardig
aanbevelenswaardige	aanbevelenswaardig
aanbevelenswaardiger	aanbevelenswaardig
aanbevelenswaardigere	aanbevelenswaardig
aanbevelenswaardigst	aanbevelenswaardig
aanbevelenswaardigste	aanbevelenswaardig
aanbevelenswaardst	aanbevelenswaard
aanbevelenswaardste	aanbevelenswaard
aanbeveling	aanbeveling
aanbevelingen	aanbeveling
aanbevelingsbrief	aanbevelingsbriev
aanbevolen	aanbeveel
aanbiddelijk	aanbiddelijk
aanbiddelijke	aanbiddelijk
aanbiddelijker	aanbiddelijk
aanbiddelijkere	aanbiddelijk
aanbiddelijkst	aanbiddelijk
aanbiddelijkste	aanbiddelijk
aanbiddenswaardig	aanbiddenswaardig
aanbiddenswaardige	aanbiddenswaardig
aanbiddenswaardiger	aanbiddenswaardig
aanbiddenswaardigere	aanbiddenswaardig
aanbiddenswaardigst	aanbiddenswaardig
aanbiddenswaardigste	aanbiddenswaardig
aanbidding	aanbidding
aanbiddingen	aanbidding
aanbidt	aanbid
aanbieding	aanbieding
aanbiedingen	aanbieding
aanbiedingsbrief	aanbiedingsbriev
aanbiedt	aanbied
aanbikt	aanbik
aanbikte	aanbik
aanbikten	aanbik
aanbindt	aanbind
aanblaas	aanblaaz
aanblaast	aanblaaz
aanblaffen	aanblaf
aanblaffend	aanblaf
aanblaffende	aanblaf
aanblaft	aanblaf
aanblafte	aanblaf
aanblaften	aanblaf
aanblazen	aanblaaz
aanblazend	aanblaaz
aanblazende	aanblaaz
aanblazing	aanblazing
aanbleef	aanblijv
aanbleven	aanblijv
aanblies	aanblaaz
aanbliezen	aanblaaz
aanblijf	aanblijv
aanblijft	aanblijv
aanblikt	aanblik
aanblikte	aanblik
aanblikten	aanblik
aanbodcurve	aanbodcurve
aanboden	aanbied
aanbodstructuur	aanbodstructuur
aanboekt	aanboek
aanboekte	aanboek
aanboekten	aanboek
aanbond	aanbind
aanbonden	aanbind
aanbons	aanbonz
aanbonsde	aanbonz
aanbonsden	aanbonz
aanbonst	aanbonz
aanbood	aanbied
aanboor	aanboor
aanboorde	aanboor
aanboorden	aanboor
aanboort	aanboor
aanboren	aanboor
aanborend	aanboor
aanborende	aanboor
aanbots	aanbots
aanbotst	aanbots
aanbotste	aanbots
aanbotsten	aanbots
aanbouwde	aanbouw
aanbouwden	aanbouw
aanbouwing	aanbouwing
aanbouwingen	aanbouwing
aanbouwt	aanbouw
